Country,Sub Region 1,Sub Region 2,Country_Code,female_unpaid_domestic_work,male_unpaid_domestic_work,Wife_decision_health,Wife_decision_household_purchase,Women_in_food_decision,death_injury_15_34_female,death_injury_15_34_male,death_injury_35_59_female,death_injury_35_59_male,female_mortality_poisonning,male_mortality_poisonning,female_mortality_air_pollution,male_mortality_air_pollution,cooking_inside,cooking_outdoors,fuel_crops,fuel_charcoal,fuel_dung,fuel_electricity,fuel_gas,fuel_straw,fuel_wood,clean_fuel
India,South Asia,South Asia,IND,,,27.1,8.5,,37.3,51.4,10.7,37.3,1.9,2.8,166,202,81.5,8.7,3,0.6,7.2,0.6,43.1,2.5,40.5,41.04
Indonesia,East Asia,East Asia,IDN,,,34,19.4,94.4,15.2,32.7,5.2,15.2,0.2,0.6,94,134,86.7,3.4,,0.4,,0.3,52,0,37.6,58.37
Iran,Middle East,Other Middle Eastern Countries,IRN,5.21,21.04,,,,44.2,68.4,11.7,44.2,0.8,1.6,46,56,,,,,,,,,,98.49
Iraq,Middle East,Arab States,IRQ,4.17,24.1,,,,69.8,90.7,29.3,69.8,0.4,0.6,64,88,,,,,,,,,,97.63
Ireland,Western Europe,Western Europe,IRL,8.96,20.56,,,,33.8,52.7,7.8,33.8,0.1,0.3,9,15,,,,,,,,,,100
Israel,Middle East,Other Middle Eastern Countries,ISR,,,,,,27.8,48.9,6,27.8,0.1,0.2,11,21,,,,,,,,,,100
Italy,Western Europe,Western Europe,ITA,6.74,19.86,,,,30.4,48.4,5.8,30.4,0.3,0.2,11,20,,,,,,,,,,100
Jamaica,Caribbean Countries,Caribbean Countries,JAM,,,,,,33.9,63.7,8,33.9,0.2,0.2,21,30,,,,,,,,,,90.5
Japan,East Asia,East Asia,JPN,2.92,14.93,,,,47.5,65.6,12.8,47.5,0.3,0.6,8,17,,,,,,,,,,100
Jordan,Middle East,Arab States,JOR,,,40,19,88.3,35.7,70.3,10.8,35.7,0.8,0.5,39,65,,,,0,,0.1,99.8,,,99.06
Kazakhstan,Central Asia,Central Asia,KAZ,7.71,17.08,,,,41.6,62.2,11.1,41.6,1.3,3.3,47,86,,,,,,,,,,95.34
Kenya,Africa (Sub-Saharan),East Africa,KEN,,,38.6,19.6,93.6,7.1,25,4.2,7.1,1.1,2.5,75,81,50,6.9,0,17.2,0,0.4,11.5,1.1,56.1,13.42
Kiribati,Pacific Islands,Micronesia,KIR,,,,,,17.6,37.8,3.2,17.6,2,3.1,107,187,,,,,,,,,,5.52
"Korea, Republic of",East Asia,East Asia,KOR,14.44,3.26,,,,54.9,65.6,18.3,54.9,0.3,0.7,14,29,,,,,,,,,,96.68
Kosovo,Eastern Europe,Eastern Europe,UVK,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,Middle East,Arab States,KWT,,,,,,35.4,64.3,10.9,35.4,0.1,0.2,89,114,,,,,,,,,,100
Kyrgyz Republic,Central Asia,Central Asia,KGZ,16.81,9.51,31.2,8.5,,28.4,49,8.2,28.4,0.4,0.8,87,142,58.4,2.9,4,0.6,6.2,53,24.7,3,8.2,81.25
Lao P.D.R.,East Asia,East Asia,LAO,10.42,2.5,,,,22.5,44.1,6.1,22.5,0.8,1,182,196,,,,,,,,,,5.62
Latvia,Eastern Europe,Eastern Europe,LVA,15.63,6.88,,,,30.2,51.5,10.1,30.2,0.3,1.5,28,60,,,,,,,,,,95.28
Lebanon,Middle East,Arab States,LBN,,,,,,30.8,68.3,6.5,30.8,0.3,0.3,41,61,,,,,,,,,,
Lesotho,Africa (Sub-Saharan),South Africa,LSO,15.56,6.18,40.3,13.7,88.1,10.3,30.2,5.5,10.3,3.3,3,166,196,52.6,39.6,0.4,0.1,7.7,10.9,25.3,1.7,47,35.61
Liberia,Africa (Sub-Saharan),West Africa,LBR,,,16.2,24.3,,10.5,33.7,6.6,10.5,1.1,2.5,172,168,17.3,36.9,,49.6,,0.1,0.1,,48.1,0.71
Libya,North Africa,Arab States,LBY,,,,,,52.7,84.2,17.7,52.7,0.4,0.8,54,92,,,,,,,,,,
Liechtenstein,Western Europe,Western Europe,LIE,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Eastern Europe,Eastern Europe,LTU,8.96,18.68,,,,30.4,54.4,11.3,30.4,0.3,1.2,23,51,,,,,,,,,,100
Luxembourg,Western Europe,Western Europe,LUX,7.08,14.44,,,,41.5,66.3,10.1,41.5,0.1,0.1,8,15,,,,,,,,,,100
Macao SAR,East Asia,East Asia,MAC,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Eastern Europe,Eastern Europe,MKD,6.04,19.51,,,,24.6,43.9,4.2,24.6,0.3,0.5,64,103,,,,,,,,,,65.63
Madagascar,Africa (Sub-Saharan),East Africa,MDG,3.82,15.63,40,18.8,93.7,13,30.7,7.1,13,2.6,4,153,167,58.4,17.2,0.1,26.8,0,0.4,0.4,0.2,71.1,0.91
Malawi,Africa (Sub-Saharan),East Africa,MWI,1.25,8.68,18.6,8.6,73.8,5.1,21.9,3.7,5.1,1.5,2.5,104,130,8.3,31,0.1,18.3,0,1.7,0,0.2,79.5,2.5
Malaysia,East Asia,East Asia,MYS,5.97,19.1,,,,29.8,54.1,8,29.8,0.3,0.6,39,56,,,,,,,,,,96.3
Maldives,South Asia,South Asia,MDV,,,20.4,10.9,,31,57,6.5,31,0,0,21,30,50.9,1.7,,,,0.9,91.2,,5.7,93.83
Mali,Africa (Sub-Saharan),West Africa,MLI,2.5,20.42,7.2,7.4,54.8,11,33.7,5.1,11,2.4,4.2,216,201,9.5,21,0.1,19.8,0.2,0.1,0.4,0.2,78.7,0.96
Malta,Western Europe,Western Europe,MLT,7.01,18.75,,,,34.7,39,5.3,34.7,0.1,0.2,15,26,,,,,,,,,,100
Marshall Is.,Pacific Islands,Micronesia,MHL,,,,,,,,,,,,,,,,,,,,,,,65.35
Mauritania,North Africa,Arab States,MRT,,,,,,12.1,34.7,7,12.1,1.2,2.5,157,184,,,,,,,,,,46.56
Mauritius,Africa (Sub-Saharan),East Africa,MUS,18.96,4.79,,,,14.8,42.1,4,14.8,0.1,0.1,28,50,,,,,,,,,,93.34
Mexico,Latin America,Mexico,MEX,27.99,10.07,,,,30.5,63.5,6,30.5,0.3,0.6,30,44,,,,,,,,,,85.35
Micronesia,Pacific Islands,Micronesia,FSM,,,,,,,,,,,,,,,,,,,,,,,11.97
Moldova,Eastern Europe,Eastern Europe,MDA,19.03,10.28,51.6,19,,26.5,47.4,8.1,26.5,0.7,1.7,61,102,,,3,0.1,0.1,2.9,82.1,2.8,8.7,92.19
Monaco,Western Europe,Western Europe,MCO,,,,,,,,,,,,,,,,,,,,,,,100
Mongolia,East Asia,East Asia,MNG,19.86,9.1,,,,29.7,56.9,7.3,29.7,1,2.2,119,203,,,,,,,,,,42.8
Montenegro,Eastern Europe,Eastern Europe,MNE,,,,,,25.7,55.6,5.6,25.7,0.4,0.6,62,98,,,,,,,,,,69.35
Montserrat,Caribbean Countries,Caribbean Countries,MSR,,,,,,,,,,,,,,,,,,,,,,,
Morocco,North Africa,Arab States,MAR,20.83,2.99,12.1,8.7,73.6,26.6,61.8,7.7,26.6,0.5,0.7,42,58,,,,0.4,,0.1,91.1,,7.8,96.75
Mozambique,Africa (Sub-Saharan),East Africa,MOZ,,,21.6,13.3,80.6,6.5,20.6,3.1,6.5,2.4,3.5,106,114,20.8,50.5,0,18.5,0,1.1,2.1,0.2,76.8,3.69
Myanmar,East Asia,East Asia,MMR,,,40.1,18.6,,29.9,32.9,10.5,29.9,1.9,0.9,133,188,61.5,12.5,1.4,13.5,0.1,22.3,0.6,0.2,61.2,18.4
Namibia,Africa (Sub-Saharan),South Africa,NAM,,,46.3,26.1,,9.5,42.1,4.9,9.5,1.5,1.6,129,168,65.6,25.8,0,0.3,0.5,33.7,10.1,,52.3,42.2
Nauru,Pacific Islands,Micronesia,NRU,,,,,,,,,,,,,,,,,,,,,,,91.33
Nepal,South Asia,South Asia,NPL,,,25.7,33.5,72.5,29.5,49,8.8,29.5,0.3,0.6,173,217,67.8,5.4,0.3,0.1,4.3,1,33,1.6,59.4,27.62
Netherlands,Western Europe,Western Europe,NLD,14.72,,,,,30.7,49.3,7.6,30.7,0.1,0.1,11,17,,,,,,,,,,100
Netherlands Antilles,Western Europe,Western Europe,ANT,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Australia & New Zealand,New Zealand,NZL,10.56,18.06,,,,42.8,64,8.2,42.8,0.1,0.3,6,9,,,,,,,,,,100
Nicaragua,Latin America,Central America,NIC,,,46.7,13,88.5,26.8,60,5.6,26.8,0.4,0.8,50,63,,,,0.4,,0.9,37.9,,60,52.3
Niger,Africa (Sub-Saharan),West Africa,NER,,,3.5,3.2,45.4,10.3,35.7,6.6,10.3,3,5.3,237,267,5.5,77.7,1.8,1.5,1.9,0.1,0.8,5.5,86.2,1.91
Nigeria,Africa (Sub-Saharan),West Africa,NGA,,,6.2,5.6,45.2,8.9,24.7,5.7,8.9,2.2,3.7,313,301,46.3,29.4,0.6,3.3,0,0.6,4.7,1.1,65,4.91
Niue,Pacific Islands,Polynesia,NIU,,,,,,,,,,,,,,,,,,,,,,,
Norway,Western Europe,Nordic Countries,NOR,9.86,13.75,,,,42.3,44.4,9.7,42.3,0.1,0.2,7,10,,,,,,,,,,100
Oman,Middle East,Arab States,OMN,7.99,19.03,,,,33.5,62.7,10.4,33.5,0.1,0.6,43,62,,,,,,,,,,95.22
